,Barris,1st Tri 2014,2nd Tri 2014,3rd Tri 2014,4th Tri 2014,1st Tri 2015,2nd Tri 2015,3rd Tri 2015,4th Tri 2015,1st Tri 2016,2nd Tri 2016,3rd Tri 2016,4th Tri 2016,1st Tri 2017,Evolution
53,54. Torre Baró,2.0,20,4.0,2.0,3.0,8,4,6,8,10,4,7,9.0,350.0
54,55. Ciutat Meridiana,40.0,30,39.0,37.0,30.0,26,23,36,24,37,30,31,30.0,-25.0
55,56. Vallbona,1.0,3,2.0,2.0,2.0,6,2,2,5,3,5,3,4.0,300.0
56,57. la Trinitat Vella,41.0,41,51.0,33.0,30.0,39,34,40,42,43,37,40,39.0,-4.878048780487805
57,58. Baró de Viver,5.0,16,3.0,4.0,8.0,7,6,4,7,2,7,2,4.0,-20.0
58,59. el Bon Pastor,38.0,36,45.0,40.0,37.0,44,40,52,48,46,33,32,42.0,10.526315789473683
59,60. Sant Andreu,267.0,249,272.0,250.0,210.0,226,231,267,253,232,242,234,267.0,0.0
60,61. la Sagrera,154.0,137,177.0,150.0,128.0,165,137,147,123,121,160,131,152.0,-1.2987012987012987
61,62. el Congrés i els Indians,71.0,54,82.0,77.0,57.0,59,53,71,62,63,57,55,79.0,11.267605633802818
62,63. Navas,101.0,93,128.0,113.0,122.0,112,106,109,97,74,99,103,110.0,8.91089108910891
63,64. el Camp de l'Arpa del Clot,245.0,267,273.0,274.0,220.0,251,248,301,245,237,260,292,273.0,11.428571428571429
64,65. el Clot,135.0,132,149.0,165.0,118.0,148,128,159,117,127,132,149,141.0,4.444444444444445
65,66. el Parc i la Llacuna del Poblenou,72.0,81,90.0,62.0,55.0,79,68,67,55,85,81,88,100.0,38.88888888888889
66,67. la Vila Olímpica del Poblenou,36.0,46,33.0,38.0,28.0,46,50,41,37,45,42,49,43.0,19.444444444444446
67,68. el Poblenou,177.0,197,199.0,208.0,160.0,186,171,203,202,217,205,215,222.0,25.423728813559322
68,69. Diagonal Mar i el Front Marítim del Poblenou,68.0,47,46.0,21.0,36.0,66,51,81,114,79,72,72,90.0,32.35294117647059
69,70. el Besòs i el Maresme,79.0,86,104.0,78.0,65.0,64,74,70,64,50,62,75,63.0,-20.253164556962027
70,71. Provençals del Poblenou,85.0,79,71.0,70.0,77.0,76,81,70,76,99,79,108,103.0,21.176470588235293
71,72. Sant Martí de Provençals,84.0,94,94.0,90.0,90.0,80,92,87,109,87,90,91,102.0,21.428571428571427
72,73. la Verneda i la Pau,69.0,90,86.0,72.0,70.0,66,89,103,77,69,88,69,77.0,11.594202898550725
73,NC,1.7990000000000002,681,465.0,1.798,1.4880000000000002,362,367,#¡REF!,332,457,367,398,440.0,24358.032240133405
