,Dte.,Barris,1r Trimestre 2014 ,2n Trimestre 2014,3r Trimestre 2014,4rt Trimestre 2014 ,1r Trimestre 2015,2n Trimestre 2015,3r Trimestre 2015,4rt Trimestre 2015,1r Trimestre 2016,2n Trimestre 2016,3r Trimestre 2016,4rt Trimestre 2016,1r Trimestre 2017
48,8,49. Canyelles,7.35,5.58,6.81,7.7,,7.2,7.0,7.8,8,"8,1","8,4","7,7",8
49,8,50. les Roquetes,8.53,8.66,7.73,8.46,8.3,8.8,9.0,8.9,"8,4","9,2","9,9",10,"8,4"
50,8,51. Verdun,9.03,9.33,8.95,9.51,8.8,7.8,10.0,10.1,10,"9,6","9,9","10,9",10
51,8,52. la Prosperitat,9.03,9.08,8.49,8.97,9.1,9.9,10.0,9.5,"9,1",10,"10,7","11,1","9,1"
52,8,53. la Trinitat Nova,8.96,8.7,8.33,8.03,8.1,9.3,9.0,8.8,"8,7","9,4","7,8","8,7","8,7"
53,8,54. Torre Baró,,9.06,,,,7.3,,5.2,"6,6","6,8",,"10,1","6,6"
54,8,55. Ciutat Meridiana,6.23,6.85,6.39,6.17,6.6,6.7,6.0,6.7,"6,2","7,2","6,4","7,7","6,2"
55,8,56. Vallbona,,,,,,5.9,,,"7,1",,,,"7,1"
56,9,57. la Trinitat Vella,8.28,6.23,6.29,7.13,6.9,8.4,9.0,8.0,"7,4","8,5","8,4","9,6","7,4"
57,9,58. Baró de Viver,,4.03,,,5.1,5.6,4.0,,"3,2",,"3,8",,"3,2"
58,9,59. el Bon Pastor,8.09,7.86,7.68,8.55,8.3,8.7,9.0,9.3,"8,2","8,7","9,1","9,1","8,2"
59,9,60. Sant Andreu,9.39,9.33,9.11,8.94,9.3,10.1,11.0,10.0,"10,3","11,4","10,8","11,2","10,3"
60,9,61. la Sagrera,9.28,9.76,8.34,8.98,8.9,9.6,10.0,10.6,"10,8",10,"10,4","10,7","10,8"
61,9,62. el Congrés i els Indians,9.21,9.34,9.42,9.03,9.0,9.6,10.0,9.2,"9,6","10,3","11,3","10,5","9,6"
62,9,63. Navas,9.2,8.66,8.49,9.24,9.2,9.6,10.0,10.3,"10,3","10,4","10,5","11,9","10,3"
63,10,64. el Camp de l'Arpa del Clot,9.96,9.61,9.77,9.62,9.6,10.6,11.0,11.2,"11,1","11,3","11,9","12,4","11,1"
64,10,65. el Clot,9.82,10.11,9.23,9.47,9.4,10.5,11.0,10.6,"10,2","11,4","11,7","11,4","10,2"
65,10,66. el Parc i la Llacuna del Poblenou,11.04,10.31,9.9,9.66,9.8,12.0,12.0,12.2,"12,1","12,5","12,5","13,7","12,1"
66,10,67. la Vila Olímpica del Poblenou,12.37,14.44,13.56,12.25,12.9,14.8,16.0,13.1,"15,8","17,2",15,"16,7","15,8"
67,10,68. el Poblenou,11.38,10.36,10.4,10.19,10.6,11.9,12.0,12.5,"11,9","12,7","13,1","13,4","11,9"
68,10,69. Diagonal Mar i el Front Marítim del Poblenou,10.82,10.7,12.49,11.49,11.6,11.1,12.0,14.9,"11,8","14,3","14,3","16,7","11,8"
69,10,70. el Besòs i el Maresme,8.51,7.8,6.84,8.09,8.4,8.4,8.0,8.3,"8,5",9,"8,7","8,9","8,5"
70,10,71. Provençals del Poblenou,9.54,10.01,9.1,10.03,9.1,10.0,10.0,10.9,"10,6","11,2","12,7","12,7","10,6"
71,10,72. Sant Martí de Provençals,8.73,9.41,8.5,8.86,9.3,9.6,9.0,9.5,"9,4",10,"9,9","10,7","9,4"
72,10,73. la Verneda i la Pau,8.34,8.26,8.52,8.14,8.6,9.4,9.0,8.9,"9,2","9,3",9,"9,1","9,2"
