,Dte.,Barris,1st Trim 2014,2nd Trim 2014,3rd Trim 2014,4th Trim 2014,1st Trim 2015,2nd Trim 2015,3rd Trim 2015,4th Trim 2015,1st Trim 2016,2nd Trim 2016,3rd Trim 2016,4th Trim 2016,1st Trim 2017,evolution_area
63,10,64. el Camp de l'Arpa del Clot,245,267,273.0,274.0,220,251,248,301,245,237,260,292,273.0,11.428571428571429
64,10,65. el Clot,135,132,149.0,165.0,118,148,128,159,117,127,132,149,141.0,4.444444444444445
65,10,66. el Parc i la Llacuna del Poblenou,72,81,90.0,62.0,55,79,68,67,55,85,81,88,100.0,38.88888888888889
66,10,67. la Vila Olímpica del Poblenou,36,46,33.0,38.0,28,46,50,41,37,45,42,49,43.0,19.444444444444446
67,10,68. el Poblenou,177,197,199.0,208.0,160,186,171,203,202,217,205,215,222.0,25.423728813559322
68,10,69. Diagonal Mar i el Front Marítim del Poblenou,68,47,46.0,21.0,36,66,51,81,114,79,72,72,90.0,32.35294117647059
69,10,70. el Besòs i el Maresme,79,86,104.0,78.0,65,64,74,70,64,50,62,75,63.0,-20.253164556962027
70,10,71. Provençals del Poblenou,85,79,71.0,70.0,77,76,81,70,76,99,79,108,103.0,21.176470588235293
71,10,72. Sant Martí de Provençals,84,94,94.0,90.0,90,80,92,87,109,87,90,91,102.0,21.428571428571427
72,10,73. la Verneda i la Pau,69,90,86.0,72.0,70,66,89,103,77,69,88,69,77.0,11.594202898550725
