,Unnamed: 0,Dte.,Barris,average_area,average_rent,average_rent_per_m2,number_contracts,area_evol,rent_m2_evol,contracts_evol,rent_evol
60,61,9.0,61. la Sagrera,"58,7","575,2","9,8",152,-15.295815295815288,5.603448275862084,-1.2987012987012987,-8.153163222942538
61,62,9.0,62. el Congres i els Indians,"67,1",696,"11,2",79,5.835962145110404,21.60694896851247,11.267605633802818,23.53129104398141
62,63,9.0,63. Navas,"70,7","716,8","10,4",110,0.8559201141226941,13.043478260869579,8.91089108910891,16.843529430942006
63,64,10.0,64. el Camp de l'Arpa del Clot,"63,4","756,6","12,9",273,3.425774877650899,29.51807228915662,11.428571428571429,30.428037028736917
64,65,10.0,65. el Clot,"67,7",775,"12,3",141,4.961240310077524,25.254582484725052,4.444444444444445,28.130941555757623
65,66,10.0,66. el Parc i la Llacuna del Poblenou,"71,9","850,7","13,1",100,7.6347305389221685,18.659420289855078,38.88888888888889,20.723175387060625
66,67,10.0,67. la Vila Olimpica del Poblenou,"81,7","1108,4","16,3",43,-1.9207683073229225,31.77041228779306,19.444444444444446,19.642066858802085
67,68,10.0,68. el Poblenou,"67,8","868,9","13,4",222,9.17874396135265,17.750439367311067,25.423728813559322,30.87223050622807
68,69,10.0,69. Diagonal Mar i el Front Maritim del Poblenou,"84,2","1148,2","15,8",90,11.081794195250668,46.02587800369686,32.35294117647059,32.479520018460825
69,70,10.0,70. el Besos i el Maresme,"62,2","588,9","9,5",63,2.1346469622331763,11.633372502937723,-20.253164556962027,13.929193267556588
70,71,10.0,71. Provencals del Poblenou,"69,4","999,6","13,2",103,2.058823529411773,38.36477987421384,21.176470588235293,57.24398301085417
71,72,10.0,72. Sant Marti de Provencals,"71,9","742,1","10,5",102,-8.173690932311612,20.274914089347075,21.428571428571427,15.293788646179667
72,73,10.0,73. la Verneda i la Pau,"69,4","677,9",10,77,-1.6997167138810036,19.904076738609113,11.594202898550725,19.20588028416685
73,74,,,,,,440,,,24358.032240133405,
